character,decomposition,definition,etymology_hint,etymology_phonetic,etymology_semantic,etymology_type,matches,pinyin,radical
⺀,？,ice,,,,,"None,None",,⺀
⺈,？,,,,,,"None,None",,⺈
⺊,⿰丨？,,A crack on an oracle bone; compare 卜,,,ideographic,"[0],None",,⺊
⺌,？,,,,,,"None,None,None",,⺌
⺍,？,,,,,,"None,None,None",,⺍
⺗,？,heart; mind; soul,,,,,"None,None,None,None",,⺗
⺮,？,bamboo; flute,Two stalks of bamboo; see 竹,,,pictographic,"None,None,None,None,None,None",zhú,⺮
⺳,⿱冖八,"net, network",,,,,"[0],[0],[1],[1]",,⺳
⺼,？,"meat, flesh; organic compound",Meat on the ribs of an animal; compare 肉,,,pictographic,"None,None,None,None",,⺼
㐆,⿻尸？,old form of 隱,,,,,"None,[0],[0],None,[0],None",yǐn,尸
㐌,⿱亻也,a tribe of savages in South China,people,也,亻,pictophonetic,"[0],[0],[1],[1],[1]",yí,亻
㐬,⿳亠厶川,"pennant; wild, barren, uncultivated",,,,,"[0],[0],[1],[1],[2],[2],[2]",liú,川
㐭,⿱亠回,"granary; to stockpile, to supply",Compare 廩,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1]",lǐn,亠
㐱,⿱人彡,"bushy, black hair; variant of 鬒",hair,人,彡,pictophonetic,"[0],[0],[1],[1],[1]",zhěn,彡
㒸,⿱丷豕,"to obey, to follow; year, season, harvest",,,,,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",suì,豕
㒼,⿱廿⿻巾⿰入入,average; equivalent,To weights 入 balanced on a scale 巾,,,ideographic,"[0],[0],[0],[0],[1, 0],[1, 0],[1, 0],[1, 1, 0],[1, 1, 0],[1, 1, 1],[1, 1, 1]",mán,巾
㓞,⿰丰刀,to engrave; a written contract or agreement,knife,,刀,pictophonetic,"[0],[0],[0],[0],[1],[1]",qià,刀
㔾,？,seal; kneeling person,A rolled-up scroll or kneeling person; compare 卩,,,pictographic,"None,None",xiān,㔾
㕡,⿰⿱？谷又,"gully, pool; a ditch carved by a torrential rain",Water flowing through a gorge 谷,,,ideographic,"None,None,None,None,None,[0, 1],[0, 1],[0, 1],[0, 1],[0, 1],[0, 1],[0, 1],[1],[1]",hé,谷
㝵,⿱旦寸,"to obtain, to get, to acquire; ancient form of 得",A hand 寸 grabbing a shell 旦,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1]",dé,寸
㠯,⿻己？,"according to, for, with; to use",,,,,"[0],[0],[0],None,None",yǐ,己
㡭,⿺⿳⿰纟纟一⿰纟纟？,"to continue; to carry on; to succeed, to inherit",An unbroken thread 纟 from the top to the bottom,,,ideographic,"[0, 0, 0],[0, 0, 0],[0, 0, 0],[0, 0, 1],[0, 0, 1],[0, 0, 1],[0, 1],[0, 2, 0],[0, 2, 0],[0, 2, 0],[0, 2, 1],[0, 2, 1],[0, 2, 1],None",jì,纟
㢆,⿸广里,"store, shop, living space",A house 广 in a village 里,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",chán,广
㢟,⿺廴止,to walk slowly; to stroll; to ramble,A foot 止 strolling down the road 廴,,,ideographic,"[1],[1],[1],[0],[0]",chān,廴
㣎,⿳白小彡,"fine, delicate",Seeds 彡 falling off a ripe 白 plant 小,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[2],[2],[2]",mù,白
㥯,⿱⿳爫工彐心,"careful, prudent; compassionate; grieved; worried",heart,彐,心,pictophonetic,"[0, 0],[0, 0],[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],[0, 2],[0, 2],[0, 2],[1],[1],[1],[1]",yǐn,心
㧜,⿰扌匝,"to grasp, to hold, to pull at",To surround 匝 something with a hand 扌,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1]",liè,扌
㬎,⿳日⿰幺幺灬,"motes in a sunbeam; illustrious, bright",Tiny 幺 motes of dust 灬 in a sunbeam 日,,,ideographic,"[0],[0],[0],[0],[1, 0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1],[2],[2],[2],[2]",xiǎn,日
㲋,⿳⺈口比,"rabbit, hare",A rabbit looking to the left,,,pictographic,"[0],[0],[1],[1],[1],[2],[2],[2],[2]",chuò,比
㳄,⿰氵欠,"saliva, spittle",water,欠,氵,pictophonetic,"[0],[0],[0],[1],[1],[1],[1]",xián,氵
㼌,⿰瓜瓜,"melon patch; weary, feeble",Several melons 瓜 growing,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",yǔ,瓜
㿽,⿱兮皿,"small bowl, small basin",dish,兮,皿,pictophonetic,"[0],[0],[0],[0],[1],[1],[1],[1],[1]",xī,皿
䍃,⿱爫缶,"vase, pitcher, earthenware",Pottery; compare 缶,,,pictographic,"[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",yóu,缶
䕭,⿱艹燅,"a kind of grass; a vegetable; nettle, Urtica",grass,燅,艹,pictophonetic,"[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qián,艹
䙴,⿳覀大㔾,"to fly, to move, to change",,㔾,,pictophonetic,"[0],[0],[0],[0],[0],[0],[1],[1],[1],[2],[2]",qiān,覀
䜌,⿲糹言糹,"chaos, distraction; to manage, to tie together",A spool 言 bound by thread 糹,,,ideographic,"[1],[1],[1],[1],[1],[1],[1],[0],[0],[0],[0],[0],[0],[2],[2],[2],[2],[2],[2]",luán,糹
䠀,⿰足尚,to meditate; to sit cross-legged,foot,尚,足,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",tāng,足
䧹,⿸广倠,"eagle, falcon, hawk",bird,广,隹,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yīng,隹
䰾,⿰魚巴,shark; bonito,fish,巴,魚,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]",bā,魚
䴉,⿰睘鳥,"spoonbill, ibis; Threskiornidae",bird,睘,鳥,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",huán,鳥
一,？,"one; a, an; alone","Represents heaven (天), earth (旦), or the number 1",,,ideographic,None,yī,一
丁,一,"male adult; robust, vigorous; 4th heavenly stem",A nail,,,pictographic,"[],None",dīng,一
丂,⿱一？,obstruction of breath (qi); variant of 考,,,,,"[0],None",kǎo,一
七,⿻一乚,seven,,,,,"[0],[1]",qī,一
丄,⿱丨一,above,One stroke on top of another; variant of 上,,,ideographic,"[0],[1]",shàng,一
万,⿱一？,ten thousand; innumerable,,,,,"[0],None,None",wàn,一
丈,⿻一又,"gentleman, man, husband; unit of length equal to 3.3 meters",,,,,"[0],[1],[1]",zhàng,一
三,⿱一二,three,Three  parallel lines; compare 一 (one) and 二 (two),,,ideographic,"[0],[1],[1]",sān,一
上,⿱⺊一,"above, on top, superior; to go up; to attend; previous",One stroke on top of another; compare 下 (below),,,ideographic,"[0],[0],[1]",shàng,一
下,⿱一卜,"below, underneath; inferior; to bring down; next",One stroke under another; compare 上 (above),,,ideographic,"[0],[1],[1]",xià,一
丌,⿱一？,table,A table,,,pictographic,"[0],None,None",jī,一
不,⿱一？,"no, not, un-; negative prefix",A bird flying toward the sky 一,,,ideographic,"[0],None,None,None",bù,一
与,⿹？一,"and; with; to; for; to give, to grant",,,,,"None,None,[1]",yǔ,一
丏,⿱一？,"parapet; invisible, hidden",,,,,"[0],None,None,None",miǎn,一
丐,⿱下？,beggar; to beg; to give,A person leaning forward to ask for help,,,pictographic,"[0],[0],[0],None",gài,一
丑,⿻刀二,"ugly; shameful; comedian, clown",,,,,"[0],[0],[1],[1]",chǒu,一
专,⿻？一,"concentrated, specialized; to monopolize",,,,,"None,[1],None,None",zhuān,一
且,⿱月一,"moreover, also (post-subject); about to, will soon (pre-verb)",A stone altar,,,pictographic,"[0],[0],[0],[0],[1]",qiě,一
丕,⿱不一,"great, grand, glorious, distinguished",,,,,"[0],[0],[0],[0],[1]",pī,一
世,⿻廿？,"generation, era, age; world",Three leaves on a branch,,,pictographic,"[0],[0],[0],[0],None",shì,一
丘,⿱斤一,"mound, hill; surname",Two hills,,,pictographic,"[0],[0],[0],[0],[1]",qiū,一
丙,⿱一内,third; 3rd heavenly stem,,,,,"[0],[1],[1],[1],[1]",bǐng,一
业,⿱？一,"business, profession; to study, to work",,,,,"None,None,None,None,[1]",yè,一
丛,⿱从一,"bush, shrub; thicket; collection",one,从,一,pictophonetic,"[0],[0],[0],[0],[1]",cóng,一
东,⿻七小,"east, eastern, eastward","Simplified form of 東, the sun 日 rising behind a tree 木",,,pictographic,"[0],[0],[1],[1],[1]",dōng,一
丝,⿱⿰？？一,"silk, fine thread; wire; strings","Simplified form of 絲, two threads",,,ideographic,"None,None,None,None,[1]",sī,一
丞,⿱氶一,"to aid, to assist, to rescue",one,氶,一,pictophonetic,"[0],[0],[0],[0],[0],[1]",chéng,一
丟,⿱王厶,to lose; to discard,,,,,"[0],[0],[0],[0],[1],[1]",diū,一
丢,⿱王厶,to lose; to discard,A lost 厶 jade 玉,,,ideographic,"[0],[0],[0],[0],[1],[1]",diū,一
